,selected_text,text,sentiment
1,Sooo SAD, Sooo SAD I will miss you here in San Diego!!!,negative
2,bullying me,my boss is bullying me...,negative
3,leave me alone, what interview! leave me alone,negative
4,"Sons of ****,"," Sons of ****, why couldn`t they put them on the releases we already bought",negative
12,DANGERously,My Sharpie is running DANGERously low on ink,negative
13,lost,i want to go to music tonight but i lost my voice.,negative
15,"Uh oh, I am sunburned","Uh oh, I am sunburned",negative
16,*sigh*," S`ok, trying to plot alternatives as we speak *sigh*",negative
17,sick,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",negative
18,onna,is back home now      gonna miss every one,negative
26,I`m sorry.,  I`m sorry.,negative
27,.no internet,On the way to Malaysia...no internet access to Twit,negative
29,Power back up not working too,Went to sleep and there is a power cut in Noida  Power back up not working too,negative
32,well so much for being unhappy for about 10 minute, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative
36,miss,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative
38,soooooo sleeeeepy!!!,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative
46,SUCKKKKKK,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,negative
48,dont like go,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",negative
49,d I`m not thrilled at all with mine., which case? I got a new one last week and I`m not thrilled at all with mine.,negative
53,it is ****...u have dissappointed me that past few days, it is ****...u have dissappointed me that past few days,negative
56,hurts,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative
58,Torn ace of hearts,Aw. Torn ace of hearts  #Hunchback,negative
60,"i lost all my friends, i`m alone and sleepy..","i lost all my friends, i`m alone and sleepy..i wanna go home",negative
62,I give in to easily,I give in to easily,negative
64,jealous..,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,negative
76,BADDD.,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",negative
78,I am sooo tired,I am sooo tired,negative
83,Sick.,Sick. With a flu like thing.,negative
84,", sorry guys","Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",negative
88,i miss you bby,i miss you bby      wish you were going tomorrow to make me do good.,negative
93,tired,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,negative
96,freaked," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",negative
97,unfortunately, hemp cloth is marvelous but unfortunately no,negative
102,"horrible,","1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",negative
103,busy,i realy wanted to go out cause its so nice but everybodys busy,negative
115,I don`t feel confident,So many tests todayyy  I don`t feel confident about anyy.,negative
116,sad.,graduation is done  im a little sad.. anyone want to hang out???,negative
122,Not looking forward,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",negative
123,Poor you," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",negative
124,not well,not well,negative
132,painful., those splinters look very painful...but you were being very heroic saving mr. Pickle,negative
133,sad?, why are you sad?,negative
139,"missed all the awesome weather,","missed all the awesome weather, because she was in a movie!",negative
141,terrible!,"These kids are terrible! If I was in Good Evans, I`d call Childline",negative
142,"Unfortunatley,","Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",negative
143,"That sucks, tho."," What`s sad is that I actually had to google that term. That sucks, tho.",negative
144,Hate fighting,Hate fighting,negative
146,Car-warmed Sprite tastes like sore throat,Car-warmed Sprite tastes like sore throat,negative
152,hate, me too. I hate my computer so much..,negative
154,i don`t like the other ones.,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,negative
158,Bugger. forgot I still have washing in my machine,Bugger. forgot I still have washing in my machine,negative
160,.really bad,My back hurts...really bad,negative
163,brutal,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,negative
165,boring, Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,negative
172,messed,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,negative
175,NOT THE SECRET NAMEREBECCA PLEASE,or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,negative
176,miss, I miss my neice  can`t wait to see her bad n grown ****! Lol,negative
178,illness,really hopes her car`s illness is not terminal...,negative
183,sad, I`m sad that I missed you guys last night!,negative
187,sick!,today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,negative
189,oww,lost my tooth 2day whilst i was eating gum...oww,negative
193,WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative
194,This diet is killing me,I`m starving!! This diet is killing me but I can`t eat after 8pm,negative
196,bored..,im soo bored...im deffo missing my music channels,negative
200,lost my voice,should be sleeping.  lost my voice a couple day ago.,negative
201,hate,http://twitpic.com/66xlm -  hate when my PARKED car gets hit,negative
204,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,negative
205,headache,going to bed its late and I have headache,negative
218,Ew traffic,Ew traffic,negative
223,I hate not having a bike..,Walking to class. I hate not having a bike....especially mine.,negative
225,This is worse than taxes.,"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",negative
247,I`m not sleeping at all un,I`m not sleeping at all until  accepts my appology,negative
248,"Seriously,","Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",negative
254,not going to well!,"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",negative
260,g harmed, Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,negative
281,depressed,I am tres depressed,negative
282,sick.,"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",negative
284,sorry, I`m sorry to hear that.,negative
288,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative
290,miss,Going to miss my roomie ... We will no longer be roomies starting tomorrow,negative
292,chocked," Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",negative
296,m worried, what`s goin on hun?  I`m worried about you,negative
297,Im not bannished., Im not bannished... but I am at work till 6,negative
306,I have missed them,Dinner with the fam... I have missed them,negative
311,Ship. I`m stuck.,Ship. I`m stuck.,negative
313,shame," Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",negative
